Id_Registro;fecha_infraccion;Año;Mes;Id_Tipo;id_canton;Id_Provincia;Id_Arma;Id_Motivacion
1;2014-01-01;2014;ENERO;1;90;23;1;1
18;2014-01-02;2014;ENERO;1;76;10;1;1
19;2014-01-02;2014;ENERO;1;76;10;1;1
4;2014-01-01;2014;ENERO;1;76;10;2;1
20;2014-01-02;2014;ENERO;2;76;10;2;1
28;2014-01-04;2014;ENERO;1;90;23;1;2
51;2014-01-12;2014;ENERO;1;90;23;1;2
144;2014-01-31;2014;ENERO;1;90;23;1;2
25;2014-01-04;2014;ENERO;2;76;10;1;2
26;2014-01-04;2014;ENERO;1;76;10;1;2
37;2014-01-07;2014;ENERO;1;76;10;1;2
40;2014-01-08;2014;ENERO;1;76;10;1;2
49;2014-01-11;2014;ENERO;1;76;10;1;1
55;2014-01-12;2014;ENERO;1;76;10;1;1
56;2014-01-12;2014;ENERO;1;76;10;1;2
57;2014-01-12;2014;ENERO;1;76;10;1;2
58;2014-01-12;2014;ENERO;1;76;10;1;2
63;2014-01-13;2014;ENERO;3;76;10;1;2
73;2014-01-15;2014;ENERO;1;76;10;3;1
74;2014-01-15;2014;ENERO;1;76;10;1;1
82;2014-01-17;2014;ENERO;1;76;10;1;1
83;2014-01-17;2014;ENERO;1;76;10;1;1
92;2014-01-19;2014;ENERO;1;76;10;1;1
97;2014-01-20;2014;ENERO;1;76;10;1;1
106;2014-01-21;2014;ENERO;1;76;10;1;2
111;2014-01-22;2014;ENERO;1;76;10;1;2
119;2014-01-24;2014;ENERO;1;76;10;2;2
121;2014-01-25;2014;ENERO;1;76;10;1;2
122;2014-01-25;2014;ENERO;1;76;10;1;2
125;2014-01-26;2014;ENERO;1;76;10;3;1
135;2014-01-29;2014;ENERO;1;76;10;1;2
136;2014-01-29;2014;ENERO;1;76;10;1;2
149;2014-01-31;2014;ENERO;1;76;10;1;1
154;2014-02-01;2014;FEBRERO;2;76;10;1;3
155;2014-02-01;2014;FEBRERO;1;76;10;1;2
161;2014-02-02;2014;FEBRERO;3;76;10;1;1
162;2014-02-02;2014;FEBRERO;1;76;10;1;1
165;2014-02-03;2014;FEBRERO;3;76;10;1;1
174;2014-02-05;2014;FEBRERO;1;76;10;1;2
179;2014-02-07;2014;FEBRERO;1;76;10;1;2
180;2014-02-07;2014;FEBRERO;1;76;10;1;2
200;2014-02-14;2014;FEBRERO;1;76;10;1;1
201;2014-02-14;2014;FEBRERO;1;76;10;2;1
206;2014-02-15;2014;FEBRERO;1;76;10;2;2
212;2014-02-16;2014;FEBRERO;1;76;10;1;1
215;2014-02-17;2014;FEBRERO;1;76;10;1;1
218;2014-02-19;2014;FEBRERO;2;76;10;2;1
5;2014-01-01;2014;ENERO;1;187;10;1;1
196;2014-02-14;2014;FEBRERO;1;24;1;1;2
2;2014-01-01;2014;ENERO;2;209;3;2;1
3;2014-01-01;2014;ENERO;2;209;3;2;1
141;2014-01-30;2014;ENERO;2;209;3;3;2
6;2014-01-01;2014;ENERO;1;75;2;1;2
7;2014-01-01;2014;ENERO;1;46;1;2;2
35;2014-01-06;2014;ENERO;1;46;1;4;2
8;2014-01-01;2014;ENERO;2;161;19;2;2
10;2014-01-01;2014;ENERO;2;161;19;2;1
17;2014-01-01;2014;ENERO;2;161;19;2;2
71;2014-01-15;2014;ENERO;2;161;19;3;3
75;2014-01-15;2014;ENERO;2;161;19;2;2
80;2014-01-17;2014;ENERO;2;161;19;2;2
86;2014-01-18;2014;ENERO;2;161;19;5;2
103;2014-01-21;2014;ENERO;2;161;19;2;1
112;2014-01-22;2014;ENERO;1;161;19;1;2
120;2014-01-25;2014;ENERO;2;161;19;1;1
152;2014-02-01;2014;FEBRERO;2;161;19;2;1
172;2014-02-05;2014;FEBRERO;2;161;19;1;2
173;2014-02-05;2014;FEBRERO;2;161;19;1;2
177;2014-02-07;2014;FEBRERO;2;161;19;2;2
178;2014-02-07;2014;FEBRERO;2;161;19;1;2
182;2014-02-07;2014;FEBRERO;2;161;19;2;2
186;2014-02-08;2014;FEBRERO;2;161;19;5;2
115;2014-01-22;2014;ENERO;1;15;10;3;1
9;2014-01-01;2014;ENERO;1;162;5;2;2
104;2014-01-21;2014;ENERO;1;162;5;5;3
11;2014-01-01;2014;ENERO;1;188;7;2;1
184;2014-02-07;2014;FEBRERO;1;188;7;1;2
12;2014-01-01;2014;ENERO;1;156;13;1;1
